id,date,ticker,setup_type,conf_label,conf_score,entry,sl,target,partial_tgt,rr,qty,qty_open,qty_closed,capital,hold_days,ev_pct,reason,sector,status,exit_date,exit_price,exit_reason,partial_exit_price,partial_exit_date,partial_pnl,pnl,result,days_held,current_price,live_pnl
PT-011,2026-04-27,ITC.NS,OVERSOLD_EXHAUSTION,WATCH,3,304.0,304.0,319.0,314.0,1.5,299,0,149,90851,5,2.14,Oversold bounce Nifty50,FMCG,closed,2026-05-05,311.45,DAY_CAP,314.0,2026-04-29,1490.0,2607.5,WIN,5,311.45,1117.5
PT-012,2026-04-27,TITAN.NS,TREND_PULLBACK,WATCH,3,4442.0,4231.0,4757.0,4652.0,1.5,14,0,0,62185,5,1.90,RSI 55 pulling back to EMA20 · ADX structural,CONSUMER,closed,2026-05-05,4373.6,DAY_CAP,,,,-957.6,LOSS,5,4373.6,-957.6
PT-013,2026-04-27,TORNTPHARM.NS,TREND_PULLBACK,WATCH,3,4220.0,4030.0,4505.0,4410.0,1.5,15,0,0,63297,5,1.80,RSI 55 pulling back to EMA20 · ADX structural,PHARMA,closed,2026-05-05,4275.1,DAY_CAP,,,,826.5,WIN,5,4275.1,826.5
PT-014,2026-04-27,HCLTECH.NS,OVERSOLD_EXHAUSTION,WATCH,2,1228.0,1131.0,1373.0,1325.0,1.5,30,0,0,36846,5,5.12,Oversold bounce Nifty50,IT,closed,2026-05-05,1200.2,DAY_CAP,,,,-834.0,LOSS,5,1200.2,-834.0
PT-015,2026-04-27,INFY.NS,OVERSOLD_EXHAUSTION,WATCH,2,1170.0,1089.0,1293.0,1252.0,1.5,36,0,0,42131,5,4.54,Oversold bounce Nifty50,IT,closed,2026-05-05,1178.1,DAY_CAP,,,,291.6,WIN,5,1178.1,291.6
PT-016,2026-04-27,TCS.NS,OVERSOLD_EXHAUSTION,WATCH,2,2448.0,2264.4,2724.62,2641.63,1.5,10,0,0,24480,5,3.69,Oversold bounce Nifty50,IT,closed,2026-05-05,2427.3,DAY_CAP,,,,-207.0,LOSS,5,2427.3,-207.0
PT-017,2026-05-05,SHRIRAMFIN.NS,RSI_DIVERGENCE,BUY,5,960.45,891.06,1064.53,1029.84,1.5,43,43,0,41299.0,8,2.71,"RSI divergence — price at low, RSI 45 above recent low",NBFC,open,,,,,,,,,,1004.1,1876.95
PT-018,2026-05-05,ALKEM.NS,RSI_DIVERGENCE,BUY,5,5360.5,5030.65,5855.27,5690.35,1.5,9,9,0,48244.0,8,2.31,"RSI divergence — price at low, RSI 47 above recent low",PHARMA,open,,,,,,,,,,5557.0,1768.5
PT-019,2026-05-05,HEROMOTOCO.NS,RSI_DIVERGENCE,BUY,5,5066.5,4770.25,5510.88,5362.75,1.5,10,10,0,50665.0,8,2.19,"RSI divergence — price at low, RSI 44 above recent low",AUTO,open,,,,,,,,,,5170.0,1035.0
PT-020,2026-05-05,APOLLOTYRE.NS,OVERSOLD_EXHAUSTION,WATCH,3,409.45,386.11,444.46,432.79,1.5,128,128,0,52410.0,5,3.71,RSI 37 turning up from oversold · volume drying,AUTO,open,,,,,,,,,,412.65,409.6
PT-021,2026-05-05,WIPRO.NS,OVERSOLD_EXHAUSTION,WATCH,2,200.75,192.4,213.28,209.1,1.5,359,359,0,72069.0,5,2.71,RSI 48 turning up from oversold · volume drying,IT,open,,,,,,,,,,199.12,-585.17
PT-022,2026-05-06,PFC.NS,TREND_PULLBACK,BUY,4,456.9,431.86,494.45,481.94,1.5,239,239,0,109199.0,8,2.19,RSI 57 pulling back to EMA20 · ADX structural,PSU,open,,,,,,,,,,463.9,1673.0
PT-023,2026-05-06,INFY.NS,OVERSOLD_EXHAUSTION,WATCH,2,1178.1,1118.02,1268.22,1238.18,1.5,99,99,0,116632.0,5,3.31,RSI 37 turning up from oversold · volume drying,IT,open,,,,,,,,,,1167.2,-1079.1
